Id,PLU,Name,Category,Active
668905,,Croque monsieur,Prepared dishes,TRUE
669161,,Martini wit,Aperitifs,TRUE
668906,,Croque Hawaï,Prepared dishes,TRUE
669162,,Martini rood,Aperitifs,TRUE
668907,,Croque Boem Boem,Prepared dishes,TRUE
669164,,Witte wijn,Wines,TRUE
669165,,Rode wijn,Wines,TRUE
668911,,Aardappelpuree,Prepared dishes,FALSE
668912,,Lasagne,Prepared dishes,TRUE
669168,,Rosé wijn,Wines,TRUE
668913,,Macaroni,Prepared dishes,TRUE
668914,,Salade Rauwkost,Vegetables,TRUE
1512179,,Cheesy frites,Prepared dishes,TRUE
668915,,Salade Scampi’s (gepaneerd),Salads,TRUE
668916,,Salade Noordzee,Salads,TRUE
669173,,Tomatensoep,Soup,TRUE
668918,,Salade Niçoise,Salads,TRUE
668921,,Salade Caesar,Salads,TRUE
669177,,Groentensoep,Soup,TRUE
668923,,Salade Geitenkaas,Salads,TRUE
668926,,Calamares,Prepared dishes,TRUE
1319423,,satekruiden,Semifinished products,TRUE
668927,,Honing-mosterd vinaigrette,Sauce cold,TRUE
669183,,Minestrone,Soup,TRUE
